idScholar,title,authors,venue,year,ROW_ID
fa8RKQRn-XgJ,The family of concurrent logic programming languages,E Shapiro,"ACM Computing Surveys (CSUR),",1989,520
IQqrZBxbAlcJ,Crime in Greece in Perspective,CD Spinellis,,1997,521
LyI-E67p5AkJ,ApJ,"RM Light, R Lynds, EJ OÌÄ?Neil Jr",,1998,522
ZlDMwysmH-0J,R-trees: A Dynamic Index Structure for Spatial Searching,A Guttrnan,"Proceedings of the SIGMOD conference, Boston, June,",,523
PB_OZcUC2WsJ,"Lower bounds for the weak pigeonhole principle beyond resolution, 2002","A Atserias, ML Bonet, JL Esteban","&hellip;  and Computation. Preliminary Version in Proc. 28th  &hellip;,",,524
CWQuDi6C6hcJ,Manual for assessment of quality of object relations,"WE Piper, M McCallum, AS Joyce","Unpublished manuscript,",,525
5J4eT-rFpRMJ,Minimization of multiple-valued multiple-threshold perceptrons by genetic algorithms,"A Ngom, Z Obradovic, I Stojmenovic","Proc. 28th IEEE International Symposium on Multiple-Valued  &hellip;,",,526
xKQ3w_8n154J,Polysaccharides from Corallina officinalis,"JR Turvey, PR Simpson","Proc. Int. Seaweed Symp,",,527
Y0LjnyTjMVMJ,Covariance selection and estimation via penalized normal likelihood,"JZ Huang, N Liu, M Pourahmadi","Unpublished manuscript,",2005,528
eGhUcgT4ZQcJ,"ISSACÌ¢??96: Proceedings of the 1996 International Symposium on Symbolic and Algebraic Computation,  ",YN Lakshman,"Zurich, Switzerland. ACM Press, New York,",,529
sInVx-UHfVIJ,A study of virtual reality-A development of virtual space editor&quot; Vis-Edit&quot;-,"R Kijima, M Hirose","Procs. of the 7th Human Interface Symposium,",,530
vjMNe4j5bMkJ,Interventions for encouraging sexual lifestyles and behaviours intended to prevent cervical cancer,"J Shepherd, R Weston, G Peersman, IZ Napuli","Cochrane Database Syst Rev,",2000,531
QDqI_QZyy10J,Data Grid Management Systems,"RW Moore, A Jagatheesan",,,532
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1101177%26type%3Dpdf,Facilitating Collective Musical Creativity,"A Tanaka, N Tokui, A Momeni",,,533
KPl4pMKQsvwJ,Regional Body-Wave Corrections and Surface-Wave Tomography Models to Improve Discrimination,"W Walter, M Pasyanos, A Rodgers, K Mayeda, A  ",,,534
SB31pnOioMcJ,30. PP Edwards and MJ Sienko,L Francis,"Acc. Chem. Res,",,535
aqVgCgNPqp4J,Arvind. Id nouveau. CSG Memo 265,"RS Nikhil, K Pingali",,1986,536
rhxIrsQkm5AJ,Efficient Processing of Expressive Node-Selecting Queries on XML Data in Secondary Storage: A Tree  ,C Koch,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003,537
SSU5skdzxREJ,Analysis patterns for patient treatment,"T Sorgente, EB Fernandez, MM Larrondo-Petrie",submitted for,,538
J71GM5zkRoYJ,Building temporal structures in a layered multimedia data model,"GA Schloss, MJ Wynblatt",Proc. Second ACM International Conference on,,539
aZ_npIo5fdQJ,Kinetics of aperiodic cascade boosters with respect to their operating speed and safety,"VF Kolesov, VK Khoruzhii",At.,,540
ttmY152c3vYJ,Statistics of frequency-response estimates,JL Douce,,,541
3eMeA-5frX8J,"Management, 976 F",A Info,Supp.,,542
x8s3QpPxgGYJ,PROMISE: peer-to-peer media streaming using CollectCast,"M Hefeeda, A Habib, B Botev, D Xu, B Bhargava","Proceedings of ACM Multimedia,",2003,543
1pxtzlCLlk8J,Autonomous mobile robot navigation and learning,"CR Weisbin, JR Einstein, FG Pin",,,544
wv5fSLQb43YJ,Closed-loop balancing and singular perturbation: a new result,"L Fortuna, G Muscato, G Nunnari","Electronic Letters,",1991,545
url:http://portal.acm.org/citation.cfm%3Fid%3D234286.1057819,Prolog session,R Hudson,"History of programming languages---II table of contents,",1996,546
KVQHF7nCofwJ,"Linking learning, teaching, and development","M Fiddler, C Marienau","New Directions for Adult and Continuing Education,",1995,547
Uq3RuLdajFYJ,Having H-space structure is not a generic property,P Jianzhong,,,548
0ldzxNM8mMQJ,EAGER: Programming Repetitive Tasks by Example,A Cypher,"Proceedings of CHI,",1991,549
Kd19TvHLpjAJ,Agricultural Biotechnology: Critical Issues and Recommended Responses from the Land-Grant  ,ABT Force,"MD,",,550
7RfIyu2r4-kJ,The weakest failure detectors to solve certain fundamental problems in distributed computing,"C Delporte-Gallet, H Fauconnier, R Guerraoui, V  ",,,551
url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D8204540536MD,Survey of Reviews on Alloy Powders Published During Seventies,"AK Chakraborty, KB Jape","Powder Metallurgy Alloys Symposium[Abstracts], Bombay, India &hellip;,",1980,552
mxACmnKeiBwJ,OLE Automation ProgrammerÌ¢??s Reference,D Clark,,1996,553
 ,Decision Support in Knowledge Acquisition: Concept Characterization Using Genetic Algorithms,A Lee-Post,,,554
O_SMlr3bFBMJ,"Y, Jiang and YK Ng.Ì¢??Record-boundary discovery in web documents,Ì¢??",D Embley,"Proc. ACM SIGMOD Conf,",,555
MkRtrERh0sYJ,Effects of components of protection-motivation theory on adaptive and maladaptive coping with a  ,"PA Rippetoe, RW Rogers","Journal of Personality and Social Psychology,",1987,556
mA1QbRiCXRAJ,J. Oral Laser Appl,"M Strassl, A Kasenbacher, E Wintner",at,,557
tP6zd0gYJ6wJ,Literacy and Health Communities: Potential Partners in Practice,"PA Sissel, MD Hohn","NEW DIRECTIONS FOR ADULT AND CONTINUING EDUCATION,",1996,558
sCFhaE4a8yAJ,Diffraction pattern sampling for automatic pattern recognition,"GG Lendaris, GL Stanley","Proc. IEEE,",1970,559
uWMZnfvTJqsJ,"An algebraic description of programs with assertions, verification and simulation",RM Burstall,"Proceedings of ACM conference on Proving assertions about  &hellip;,",1972,560
5DVX31BUCFEJ,Of Pilgrims and Turkey: A Look at Thanksgivings Past and Present. Teacher's Roundtable.,C Sage,"Social Studies and the Young Learner,",1993,561
ek26aiEheesJ,STRUDEL: A Web-site Management System,"M Fernandez, J Kang, A Levy, D Suciu",,,562
WboWWH5GQBUJ,Verifiable secret sharing and multiparty protocols with honest majority,"T Rabin, M Ben-Or","&hellip;  of the twenty-first annual ACM symposium on Theory of  &hellip;,",1989,563
wqCNvihL8LwJ,"Lernerautonomie und Lernstrategien, Fernstudieneinheit 23, Langenscheidt, MÌÄå_nchen, 2000","P BIMMEL, U RAMPILLON",,,564
FMBlth2of3IJ,Rule and Data Allocation in Distributed Deductive Database Systems,"SJ Lim, YK Ng",,,565
qWXP6sgIeKsJ,Automatic Composition of Transition-based Semantic Web Services with Messaging,"D Berardi, D Calvanese, G De Giacomo, R Hull, M  ","Proceedings of the 31st international conference on Very  &hellip;,",2005,566
89YLiDkaVN0J,Final Report,L Koehnken,"Mount Lyell Remediation Research and Demonstration Program.  &hellip;,",,567
lmuMLUbOd_8J,Concluding Observations.,DW Steeples,"New Directions for Higher Education,",1986,568
Ar8qus-3KAQJ,Computation of Floating Mode Delay in Logic Circuits&quot; Practice and Implementation,"S Devadas, K Keutzer, S Malik, A Wang","MIT Technical Report, Massachusetts Institute of Technology, ",,569
euRfl0dTNlEJ,Guaranteeing delay jitter bounds in packet switching networks,"D Verma, H Zhang, D Ferrari","Proceedings of Tricomm,",,570
5ptAphKla1oJ,Real Estate War in Cyberspace: An Emerging Electronic Market?,"K Crowston, RT Wigand",,,571
D1f1Uq41ae8J,Khordeh Avesta,F Shahzadi,"San Diego,",,572
0sNACo8196EJ,A coherence theorem for ordered families of probability measures on a partially ordered space,DA Ross,"Unpublished manuscript,",1993,573
T-_9EOiSJMgJ,Pouchitis After Ileal Pouch-Anal Anastomosis: A Pouchitis Disease Activity Index,"WJ Sandborn, WJ Tremaine, KP Batts, JH Pemberton","MAYO CLINIC PROCEEDINGS,",1994,574
fSB01JihBQQJ,"The multiple ergodicity of non-discrete subgroups of Diff Ìè? (S 1), 2001","JC Rebelo, RR Silva",,,575
url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D0014631CI,The digital doorkeeper'--Automatic face recognition with the computer.,"JL Nettles, AJ Witsmeer, P Seitz, M Bichsel","Proceedings 25 th Annual 1991 IEEE International Carnahan  &hellip;,",1991,576
oZvlrcwAJ3cJ,Risk and Protective Factors Among Youth Offenders,"MB Carr, TA Vandiver","ADOLESCENCE-SAN DIEGO-,",2001,577
DvhLJEgyVOUJ,Schubert varieties and cycle spaces,"AT Huckleberry, JA Wolf",,,578
a2-CPLseJxQJ,The Role of Athletics in Student Development.,N Sanford,"New Directions for Higher Education,",1973,579
GmI6Eh8pCnkJ,Microsoft Excel Data Analysis and Business Modeling,WL Winston,,2004,580
BsLB7EI7oawJ,ARIES/IM: an efficient and high concurrency index management method using write-ahead logging,C Mohan,"Proceedings of the 1992 ACM SIGMOD international conference  &hellip;,",1992,581
O4K4hktgjLMJ,Representing othersÌ¢?? preferences in mixed motive games: Was schelling right,"G Devetag, M Warglien",,,582
qaoTK_zX3awJ,ManolopoulosY (1994) Fast subsequence matching in time-series databases,"C Faloutsos, M Ranganathan",&hellip; . ACM International Conference on Management of Data (SIGMOD,,583
sKZX_NA5UEAJ,or Constraint Maintenance IBM Research Report RJ 7348,"S Cen, JWDP Rules","IBM Almaden Research Center, March,",,584
fz4PKDuWGmoJ,A performance study of four index structures for set-valued attributes of low cardinality,"S Helmer, G Moerkotte","The VLDB Journal The International Journal on Very Large  &hellip;,",2003,585
C5r7CWfQ0icJ,Customer data faces rough road to factory,C Stedman,"Computerworld,",,586
xCbXlJHLR48J,Path Queries on Compressed XML,"P Buneman, M Grohe, C Koch","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003,587
Faa0FnCEmE0J,Morphological Diagnosis and Heterogeneity. Atlas of Tumor Pathology: Tumors of the Lower Respiratory ,"TV Colby, MN Koss, WD Travis","MD,",,588
dCNBjTU6p90J,"andS. Clark.Ì¢??Collaborativewritingasaprocessofformalizinggroup memory,Ì¢??","M Mandviwalla, K Sandoe","Proc. 28th Annual Hawaii Int. Conf. on System Sciences,",,589
bIui8xtInQEJ,Expert system for selecting expert system shells.,"A Martin, RKH Law","Information and Software Technology,",1988,590
mVDi5C2m95sJ,Metaphorical models of thought and speech: a comparison of historical directions and metaphorical  ,EE Sweetser,"Procs. 13th Annual Meeting of the Berkeley Linguistics  &hellip;,",,591
a5dIjd9Bbl8J,Singularity design motivation,"GC Hunt, JR Larus","Technical Report MSR-TR-2004-105, Microsoft Corporation, Dec. ",,592
url:http://doi.wiley.com/10.1002/ace.31,Living in the Feudalism of Adult Basic and Literacy Education: Can We Negotiate a Literacy Democracy ,BA Quigley,"New Directions for Adult and Continuing Education,",2001,593
A2VpfbUljcUJ,Mediacups: experience with design and use of computer-augmented everyday artefacts,"M Beigl, HW Gellersen, A Schmidt","Computer Networks,",2001,594
HiZ-2-mSanAJ,"90 WB Frakes, PB Gandel, Representing reusable software",F Gandel,"Information and Software Technology,",,595
VGyOaKo9oesJ,Objectives to Direct the Training of Emergency Medicine Residents on Off-Service Rotations:  ,"GM Newland, LR Wolf, JA Bishop, GC Hamilton","JOURNAL OF EMERGENCY MEDICINE,",1993,596
K8FEoYyEPL8J,Beyond Process: TQM Content and Firm Performance,"R Reed, DJ Lemak, JC Montgomery","The Academy of Management Review,",1996,597
i-2P22dKYZgJ,The Photoelectric Effect,"OW Richardson, KT Compton","Phil. Mag,",,598
eCVVppG0h2MJ,Adaptive Disk Scheduling in a Multimedia DBMS,"K Lund, V Goebel",,,599
Jb9Ogc1qQAYJ,Biohydrometallurgy,"PR Norris, DP Kelly","Proc Int Symp Warwick,",,600
zHtkwO0u5tYJ,The Relationship Between International Trade and Linguistic Competence,"J Stanley, D Ingram, G Chittick","Report to DEET,",,601
qtSeY_1Q5YUJ,R. Yavatkar. Distributed File Organization with Scalable Cost/Performance. ACM-SIGMOD Int. Conf,"R Vingralek, Y Breitbart, G Weikum","On Management of Data,",,602
gfGSKwuJXO8J,Local and Global Query Optimization Mechanisms for Relational Databases,"K Satoh, M Tsuchida, F Nakamura, K Oomachi","VLDB,",1985,603
lEtduQE6LmgJ,Lightweight Uses of Logic in Conceptual Modelling,"D Robertson, J AugustÌãå±","ACM Press, New York,",,604
0lAHCM-lcjIJ,Data Management for Asymmetric Communication Environments,"S Acharya, R Alonso, M Franklin, S Zdonik, B Disks","Proc. ACM SIGMOD Conf., San Jose, CA, May,",,605
KzqcbQwUPmAJ,Logjam: A Tangible Multi-Person Interface for Video Logging,"J Cohen, M Withgott, P Piernot",,,606
BZLkF_YQCiYJ,"Out of the depths, an autobiographical study of mental disorder and religious experience.",AT Boisen,,1960,607
Ow2iIfOJUm0J,International Students Publications and Forms Areas of Study Program Administrators Graduate Faculty ,F Assistance,,,608
32hCxOgdM8EJ,Certificate programs: Alternative Ways to Career Advancement and Social Mobility,GJ Lopos,"New Directions for Adult and Continuing Education,",1991,609
cSCaEZboCIgJ,Transition to a unified system: using Perl to drive library databases and enhance Web site  ,JC Fagan,"ELECTRONIC LIBRARY,",2001,610
Wc7Thzna0HgJ,Role of nectin in organization of tight junctions in epithelial cells,"A Fukuhara, K Irie, A Yamada, T Katata, T Honda, K ","Genes to Cells,",2002,611
CjlBnzS51oAJ,Ultrastructural studies on stomatal development,B Galatis,,1974,612
y8YwCE-kbMgJ,BASIC COMPUTER LITERACY SKILLS EXPECTED OF STUDENTS BY INSTRUCTORS AT WISCONSIN INDIANHEAD TECHNICAL ,RD Pennings,,2001,613
 ,SLAB: A software-based real-time virtual acoustic environment rendering system.,JD Miller,,,614
glLXyAIPPkIJ,Determination of low levels of cadmium in blood by electrothermal atomization and atomic absorption  ,"HT Delves, J Woodward","At Spectrosc,",,615
7VB5N4BYX9cJ,Quantum groups Proc,VG Drinfeld,"Proc. Int. Congr. Math., Berkeley,",,616
url:http://doi.wiley.com/10.1002/he.76,The Role of the Grants Officer,LW Willard,"New Directions for Higher Education,",2002,617
Rl018_dXTQwJ,Sensory stimulation for brain injured individuals in coma or vegetative state,"F Lombardi, M Taricco, A De Tanti, E Telaro, A  ","Cochrane Database Syst Rev,",2002,618
E9MWD5nmNuQJ,"KRIBER-an interactive PASCAL program to calculate distances and angles, to generate input files for  ",R Bialek,"&hellip;  Kristallografie und Petrografie, ETH Zurich, Switzerland (",,619
lx43M93LPHcJ,Providing Focus for Financial Management.,AJ Falender,"New Directions for Higher Education,",1983,620
MSdOR1yOGKcJ,Kanata: adaptation and evolution in data sharing systems,"P Andritsos, A Fuxman, A Kementsietsidis, RJ  ","ACM SIGMOD Record,",2004,621
wN1gLUwtQgQJ,"Mix Barrington, Huong LeThanh, On Counting AC0 Circuits with Negative Constants","A Ambainis, A David",Proceedings of the 23rd International Symposium on ,,622
yhJXXctSeUgJ,Multidatabase Interoperability,"SIGMOD Record, 1990","SIGMOD Record,",1990,623
LwZe_nTD__UJ,Mining fuzzy association rules in database,"MK Chan, F Ada, HW Man","SIGMOD Record,",,624
j_hnHoHFyYkJ,Modeling the Global short-period wavefield with a Monte Carlo Seismic phonon method,"PM Shearer, PS Earle",,2004,625
Ve97_p9rjogJ,Pflanzensoziologie.Ì¢??Springer Verlag,J Braun-Blanquet,"Wien, AT,",,626
rCahZZaAhqcJ,"Automatic acquisition of the lexical semanl, ics of verbs fl'om sentence frames","M Webster, M Mm'cus","Procs of A CL&#39;89,",,627
c1HLn78WvnUJ,The transport of ciguatoxin: A case report,G Asaeda,"JOURNAL OF EMERGENCY MEDICINE,",2001,628
UCd3zDTAvDIJ,"ERP project dynamics and enacted dialogue: perceived understanding, perceived leeway, and the nature ","P Besson, F Rowe","ACM SIGMIS Database,",2001,629
iPQ5DgAqS94J,Calculating upward and downward simulations of state-based specifications,"J Derrick, E Boiten","Information and Software Technology,",1999,630
gWvmT46wdooJ,Inside Visual C++ 6.0 (mit CD),"D Kruglinski, G Sheperd, S Wingo",,,631
s7S2J-qGkrkJ,A CMOS Analog Parallel Array Processor Chip with Programmable Dynamics for Early Vision Tasks,"R Carmona, F JimÌÄå©nez-Garrido, R DomÌÄå_nguez-Castro ",,,632
0ZQnv8tOzBwJ,Finding Hierarchical Heavy Hitters in Data Streams,"G Cormode, D Srivastava","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003,633
eBioF2UxyBoJ,Classification of the finite dimensional simple Lie algebras in prime characteristic,"AA Premet, H Strade",,,634
2cnjfAdUQt4J,First-Year Impacts,P Patterns,New York: Manpower,,635
n85SwXicWVgJ,Efficient Semantic-Based Content Search in P2P Network,"HT Shen, Y Shu, B Yu","IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING.,",2004,636
nqhb6Cyu7RMJ,"S. Peyt on Jones, A Short-cut to Deforestation","A Gill, J Launchbury",Proc. ACM,,637
LGPotmosI9gJ,Measurements of Electron Cyclotron Emission From Non-Maxwellian Electron Distributions in TCV  ,"P Blanchard, H Weisen, S Alberti, S Coda, P Gomez, ",,,638
bZlpjMDZD5UJ,Effective memory use in a media server (extended version). Stan-ford Technical Report SIDL-IVP- ,"E Chang, H Garcia-Molina",,1996,639
-r42fmhetDIJ,Asynchronous Groupware Support Effects on Process Improvement Groups: An Action Research Study,", RJ McQueen",,,640
sxo1ryVVzFoJ,Endoscopic submucosal resection with hook knife,O TSUNEO,"&hellip;  International Endoscopy conference with live demonstration  &hellip;,",,641
M_hWK8X773IJ,"ho nson, JE Schweitzer, and ER Warkentine,Ì¢??A DBMS Facility for Handling Structured Engineering  ",J HR,Proc. 1989 ACM Engineering Design,,642
ClDKMfHNOZMJ,Perceived Organizational Support and Leader-Member Exchange: A Social Exchange Perspective,"SJ Wayne, LM Shore, RC Liden","The Academy of Management Journal,",1997,643
3-KjEW_km2IJ,A Perspective on the Future of Massively Parallel Computing: Fine-Grain vs. Coarse-Grain Parallel  ,PT Tosic,,,644
FfyGYjH6iNoJ,Automatic Data Fusion with HumMer,"A Bilke, J Bleiholder, C Bohm, K Draba, F Naumann, ","Proceedings of the 31st VLDB Conference, Trondheim, Norway,",2005,645
3f8I6gQNP6UJ,Behavior of dielectric barrier discharges in nitrogen/oxygen mixtures,"R Brandenburg, KV Kozlov, AM Morozov, HE Wagner, P ","Proc. 26th Int. Conf. on Phenomena in Ionized Gases (ICPIG- &hellip;,",,646
38Vz_jXCWv0J,"A survey of protein variation in populations of the Pacific oyster, Crassostrea gigas, 92 pp. M. Sci",NE Buroker,"thesis, University of Washington, Seattle, Washington 1975 ",,647
StISg0TD5ZUJ,Cold tolerance,E Beck,"See Ref,",,648
JweirBN3PSUJ,Environmental Isotopes in Hydrogeology,"ID Clark, P Fritz","CRC, New York,",1997,649
jlzv21qakdoJ,A Data Model and Query Language to Explore Enhanced Links and Paths in Life Science Sources,"G Mihaila, F Naumann, L Raschid, ME Vidal",,,650
NG26eplZPWwJ,On the Apparent Visual Forms of Relativistically Moving Objects,"PM Mathews, M Lakshmanan","I Nuovo Cimento,",1972,651
dJEVZKkG84YJ,Microsoft ASP. NET step by step,GA Duthie,,,652
fPkYFxIpfBUJ,Una evaluaciÌÄå_n del del modelo entidad relaciÌÄå_n extendido,H Saiedian,"Information and Software Technology,",1997,653
PKuKR5AUEsoJ,3D-surface modelling for Automotive applications with the use of Neural Networks,"M Gadola, D Vetturi, P Maffezzoni","Proc. 28th ISATA-International Symposium on Automotive  &hellip;,",,654
yRtmRji7lCAJ,Is splitting focal attention mediated by exogenous orienting of attention,L MacDonald,"Unpublished manuscript,",,655
sAYCyUcugbYJ,Primitives for Workload Summarization and Implications for SQL,"S Chaudhuri, P Ganesan, V Narasayya","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003,656
ThLxMqqAxjIJ,"ÌÄ?., Srivastava, D., and Tan, M., 1996, Semantic Data Caching and Replacement","S Dar, MJ Franklin, B JÌÄå_nsson",&hellip;  of the 22 thInternational Conference on Very Large Data ,,657
X3M140ZMaMgJ,"TC, Metadata for multimedia documents",KR BÌÄ?HM,"SIGMOD Record, Special Issue on Metadata for Digital Media,",,658
V--R0Nh61UwJ,Older Learners: A Viable Clientele.,KM O'Donnell,"New Directions for Higher Education,",1980,659
TOfkqZy9PrgJ,Hemispheric asymmetry and emotion,RJ Davidson,"Approaches to emotion,",,660
1TMIW7L9HcgJ,Mechanical behavior of steam-treated spruce wood under compressive strain,"PP KÌÄå_renlampi, P TynjÌÄå_lÌÄå_, P StrÌÄå_m",Submitted for,,661
c3832PwQ-f4J,Electromagnetic Analysis and Design in Magnetic Resonance Imaging,J Jianming,,,662
jCXmp9zo-_wJ,Whither Engineering?Ì¢??Thinking for the Future,AV Lewis,"BT Technology Journal,",1999,663
ajg3gYq22j8J,OdeView: The Graphical Interface to Ode,"R Agrawal, N Gehani, J Srinivasan",Proceedings of the ACM SIGMOD International Conference on ,,664
fw5XfUh15osJ,"H. Garc ia-Molina, and Andreas Paepcke. STARTS Stanford protocol proposal for Internet retrieval and ","L Gravano, K Chang","Technical report, Computer Science Department, Stanford ",,665
FGrcH7XeeMsJ,Information Management for Gaze Control in Vision Guided Biped Walking,JF Seara,,,666
CtLgOhQzVrwJ,Participation in the ICZM Processes: Mechanisms and Procedures needed,G King,"&hellip;  Study for the European Demonstration Programme on ICZM,",,667
zZHw78zpoQ8J,"Usage Scenarios of DBMS, Keynote",R Munz,"25th International Conference on Very Large Data Bases,  &hellip;,",,668
qP0jZsOBaCgJ,Efficient EBV Superinfection of Group I Burkitt's Lymphoma Cells Distinguishes Requirements for  ,"TJ Evans, MG Jacquemin, PJ Farrell","VIROLOGY-NEW YORK-,",1995,669
vZuvXH5l1kUJ,A Conceptual Framework for the Design of Organizational Control Mechanisms,WG Ouchi,"Management Science,",1979,670
yZy4PLAKiKsJ,Human Resource Development's Role in Women's Career Progress,"KS McDonald, LM Hite","New Directions for Adult and Continuing Education,",1998,671
Ii149HaUfkcJ,The Disposition of Children with Croup Treated with Racemic Epinephrine and Dexamethasone in the  ,"JD Rizos, BE DiGravio, MJ Sehl, JM Tallon","JOURNAL OF EMERGENCY MEDICINE,",1998,672
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1099600%26type%3Dpdf,Applying Cosine Series to Join Size Estimation,"C Luo, Z Jiang, WC Hou","Proceedings of the 14th ACM international conference on  &hellip;,",2005,673
JnV4W3TKPxMJ,A language based multidatabase system,"E KÌÄå_hn, T Tschernko, K Schwarz","Proceedings of the 1994 ACM SIGMOD international conference  &hellip;,",1994,674
Qx58CL7YX1IJ,Smart Mater. Struct,"X Wang, DDL Chung",at,,675
BR97rv-r0S0J,An Integrated system for the evaluation of risk from Volcanic gases at Vulcano Isalnd (Sicily),"M Favalli, F Giannini, MT Pareschi, M Ranci","Proceedings of IAMG98, Isola dÌ¢??Ischia, Naples, 1998,",,676
cRswTfcY9DIJ,The molecular portraits of breast tumors are conserved across microarray platforms,"Z Hu, C Fan, JS Marron, X He, BF Qaqish, G Karaca, ",,2005,677
hVJ0RXXsyw8J,Studies on primary hyperoxaluria,"EW Frederick, MT Rabkin, RH Richie, LH Smith","vivo demonstration of a defect in glyoxylate metabolism. N  &hellip;,",,678
aFR5JQquCFMJ,Self-Monitoring During Collegiate Studying: An Invaluable Tool for Academic Self-Regulation,"BJ Zimmerman, AS Paulsen","NEW DIRECTIONS FOR TEACHING AND LEARNING,",1995,679
url:http://portal.acm.org/citation.cfm%3Fid%3D1084805.1084817,Regular research articles,B Cooper,"ACM SIGMOD Record,",2005,680
Wpqud82RSPYJ,Entendendo a Lei de Responsabilidade Fiscal,"E Nascimento, I Debus","Unpublished manuscript,",,681
gT0ietFXq2gJ,Rigorous Evaluation of COTS Middleware Technology,"I Gorton, A Liu, P Brebner",,,682
98wnOTdfXscJ,Transformational Morphology of the Greek Noun,A Malikouti-Drachman,"Athens, Greece,",,683
D6FNpQIUqNwJ,Intelligent Software Agents for Managing Distributed Genomics Data,JW KeeleÌ¢?å_,Proc. 28th Conf. Int&#39;l Soc. Animal Genetics,,684
0Vt-mCdDgywJ,A sign-based phrase structure grammar for Turkish. Master's thesis,O Sehitoglu,"Middle East Technical University,",,685
da91q3uhag4J,Optimality conditions and homogenization,"F Murat, L TARTAR","Proceedings ofÌ¢?? Nonlinear variational problemsÌ¢??, Isola d &hellip;,",,686
M0abL9muZYgJ,Value and Productivity in the Internet Economy,"A Barua, AB Whinston, F Yin",,,687
hBm5FifM1y4J,Explaining away political crimes.,"HF Dahl, ÌÄ? SÌÄåürensen","Unpublished manuscript,",,688
UwcxU0OJbjoJ,"  Architecture//Advances in Databases and Information Systems, Third East European Conference, ADBIS' ",LB Sokolinsky,"Proceedings of Short Papers.-Maribor: Institute of  &hellip;,",,689
fdpauJ3GbekJ,Maximizing Cross-Functional New Product Teams' Innovativeness and Constraint Adherence: A Conflict  ,"K Lovelace, DL Shapiro, LR Weingart","ACADEMY OF MANAGEMENT JOURNAL,",2001,690
uleJSJ9fn5gJ,SWARMS: a geographic information system for desert locust forecasting,K Cressman,"See Ref,",,691
EZtmAlgBk40J,Fuzzy Logic in Diagnosis: Possibilistic Networks&quot; invited Chapter in Fuzzy Logic (J. Baldwin) John  ,M Ulieru,,,692
VQDjA8ibNZoJ,Psychology-UW-Milwaukee Navigation Banner,N On-Line,,2005,693
RpMVEA9Cc80J,Increasing success in school through priming: aa training manual,"LD Wilde, LK Koegel, RL Koegel",,1992,694
5BeWf7KPL88J,Learning a word processing system with training wheels and guided exploration,"R Catrambone, JM Carroll","ACM SIGCHI Bulletin,",1986,695
upOP6K5m-bkJ,Semantics and Implementation of schema evolution in object-oriented databases Proc. of ACM-SIGMOD  ,"J Banerjee, W Kim, HK Kim, HF Korth","Conf. om Management of Data, San Francisco CA, May,",,696
hJvqq1f9drgJ,Cardiotocography for antepartum fetal assessment,"N Pattison, L McCowan","Cochrane Database Syst Rev,",2000,697
j4c0nOUirDkJ,Unskilled and unaware of it: How difficulties in recognizing oneÌ¢??s own incompetence lead to  ,"J Kruger, D Dunning","Journal of Personality and Social Psychology,",1999,698
6StFlriC-A8J,Usage and Attitude Survey About Credit and T &amp; E Cards,BA Agency,"Athens, Greece,",,699
1146FICAE50J,"Risk vs. opportuniy, The technology's there, but few Web sites conduct transactions. Are companies'  ",K Gow,"Computerworld,",,700
nrEQsOAiE44J,An Ontological Analysis of the Relationship Construct Conceptual Modeling,"W YAIR, CS VEDA, W KON","ACM Transactions on Database Systems,",,701
kbZA_QpSCucJ,Reconciling Distance Functions and Level Sets,"J Gomes, O Faugeras","LECTURE NOTES IN COMPUTER SCIENCE,",1999,702
1btlNbfxIaIJ,"Broadband pilot project brings architects, builders together onlineÌ¢??Ì¢??",S Lais,"Computerworld,",,703
d5T54NeKom4J,"Orderable Dimensions of Visual Texture for Data Display: Orientation, Size and Contrast","C Ware, W Knight",,,704
OuM0E0BhEXIJ,Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,"S Chaudhuri, G Weikum","VLDB,",2000,705
aAB6fCx2FEgJ,Creating an interactive immersive decision environment: linking modelling to visualisation,I BISHOP,"Proceedings of the 23rd Annual International Conference of  &hellip;,",,706
k4CGOBrxx_0J,A geographic redirection service for on-line games,"C Chambers, W Feng, W Feng, D Saha","Proceedings of the eleventh ACM international conference on  &hellip;,",2003,707
vtk5MXDp0d4J,Integration of asynchronous and self-checking multiple-valued current-mode circuits based on dual- ,"T Hanyu, M Kameyama",,,708
UQKLpnCTb0cJ,Codifying Guarded Definitions with Recursive Schemes,E Gimenez,"LECTURE NOTES IN COMPUTER SCIENCE,",1995,709
bIuzSI1xe84J,Sexual Selection and Taxonomic Diversity in Passerine Birds,"TG Barraclough, PH Harvey, S Nee","Proceedings: Biological Sciences,",1995,710
